customer_id,customer_name,phone_number,email,city,registration_date
CUST0001,Kiran Patel,9433218196,kiran.patel5@gmail.com,Delhi,2022-08-12
CUST0002,Pallavi Patel,9838637940,pallavi.patel98@yahoo.com,Nagpur,2023-03-09
CUST0003,Bhavna Tiwari,9235116155,bhavna.tiwari78@outlook.com,Indore,2022-02-14
CUST0004,Syed Rao,9618495931,syed.rao6@yahoo.com,Indore,2022-10-24
CUST0005,Suresh Bhat,9164752553,suresh.bhat86@outlook.com,Nagpur,2023-12-01
CUST0006,Deepika Iyer,9832764835,deepika.iyer99@gmail.com,Hyderabad,2022-02-02
CUST0007,Shivam Ali,9413953767,shivam.ali19@outlook.com,Bengaluru,2022-09-10
CUST0008,Rekha Qureshi,9965328710,rekha.qureshi15@yahoo.com,Lucknow,2022-06-13
CUST0009,Sachin Reddy,9669784801,sachin.reddy88@outlook.com,Indore,2023-10-19
CUST0010,Bhavna Rao,9462704828,bhavna.rao14@outlook.com,Bhopal,2023-10-17
CUST0011,Swati Mehta,9528809570,swati.mehta15@outlook.com,Bhopal,2022-11-11
CUST0012,Mohan Singh,9391171822,mohan.singh85@hotmail.com,Kolkata,2022-06-19
CUST0013,Rekha Qureshi,9383465787,rekha.qureshi16@yahoo.com,Hyderabad,2022-03-07
CUST0014,Bhavna Patel,9983930103,bhavna.patel9@gmail.com,Bhopal,2022-12-05
CUST0015,Deepika Shetty,9473829973,deepika.shetty61@hotmail.com,Hyderabad,2022-04-07
CUST0016,Rajesh Qureshi,9566701065,rajesh.qureshi14@yahoo.com,Hyderabad,2022-07-14
CUST0017,Fatima Gupta,9624731781,fatima.gupta7@gmail.com,Delhi,2022-08-31
CUST0018,Neha Ansari,9773602606,neha.ansari34@hotmail.com,Pune,2023-03-10
CUST0019,Yash Mehta,9343098050,yash.mehta7@hotmail.com,Kolkata,2023-06-28
CUST0020,Sanjay Singh,9812191361,sanjay.singh73@yahoo.com,Surat,2023-09-01
CUST0021,Kavya Nair,9699854353,kavya.nair34@hotmail.com,Bengaluru,2023-11-19
CUST0022,Vinay D'Souza,9510799118,vinay.d'souza28@outlook.com,Bengaluru,2022-12-24
CUST0023,Amit Shetty,9542784980,amit.shetty86@outlook.com,Lucknow,2022-04-17
CUST0024,Shreya Mishra,9118244935,shreya.mishra27@outlook.com,Kolkata,2023-05-16
CUST0025,Ashok Singh,9164005242,ashok.singh95@hotmail.com,Kolkata,2023-12-24
CUST0026,Sachin Sharma,9112805982,sachin.sharma56@yahoo.com,Mumbai,2022-11-12
CUST0027,Ajay Kumar,9533158692,ajay.kumar31@yahoo.com,Indore,2022-07-01
CUST0028,Tushar Patel,9256342160,tushar.patel61@yahoo.com,Hyderabad,2023-04-17
CUST0029,Dinesh Pandey,9330365414,dinesh.pandey45@hotmail.com,Lucknow,2023-07-04
CUST0030,Kunal Patel,9142940196,kunal.patel45@outlook.com,Jaipur,2023-09-13
CUST0031,Kiran Khan,9934060883,kiran.khan47@hotmail.com,Delhi,2023-11-12
CUST0032,Kunal Shah,9148465648,kunal.shah17@yahoo.com,Jaipur,2023-11-12
CUST0033,Naveen Pillai,9994680443,naveen.pillai56@outlook.com,Ahmedabad,2023-03-29
CUST0034,Imran Verma,9872148951,imran.verma97@yahoo.com,Lucknow,2022-11-14
CUST0035,Gaurav Chaudhary,9200379176,gaurav.chaudhary81@yahoo.com,Nagpur,2023-12-15
CUST0036,Chandana Nambiar,9632016328,chandana.nambiar60@gmail.com,Kolkata,2022-09-13
CUST0037,Divya D'Souza,9278895798,divya.d'souza55@hotmail.com,Bengaluru,2023-05-02
CUST0038,Fatima Mishra,9348734714,fatima.mishra31@outlook.com,Chennai,2022-11-24
CUST0039,Suresh Gupta,9236231665,suresh.gupta70@hotmail.com,Jaipur,2022-03-05
CUST0040,Harish Ansari,9690967054,harish.ansari97@hotmail.com,Bhopal,2023-03-06
CUST0041,Gaurav Nambiar,9346706562,gaurav.nambiar60@yahoo.com,Surat,2023-07-01
CUST0042,Sneha Ali,9990162720,sneha.ali34@hotmail.com,Chennai,2022-08-05
CUST0043,Syed Shah,9564641708,syed.shah7@outlook.com,Hyderabad,2023-10-28
CUST0044,Amit Kumar,9033092327,amit.kumar86@gmail.com,Surat,2022-08-12
CUST0045,Zara Mishra,9529912419,zara.mishra4@outlook.com,Surat,2023-11-25
CUST0046,Naveen Ali,9319314919,naveen.ali6@outlook.com,Kolkata,2023-03-15
CUST0047,Madhu Reddy,9850671657,madhu.reddy91@yahoo.com,Jaipur,2022-06-30
CUST0048,Manoj Menon,9769453147,manoj.menon32@hotmail.com,Surat,2023-09-17
CUST0049,Naveen Malhotra,9075273545,naveen.malhotra36@outlook.com,Kolkata,2022-01-11
CUST0050,Prakash Nair,9367837770,prakash.nair12@outlook.com,Hyderabad,2023-02-19
CUST0051,Suma Pandey,9957885685,suma.pandey46@hotmail.com,Pune,2022-11-10
CUST0052,Ashok Bhat,9135182337,ashok.bhat36@outlook.com,Delhi,2022-07-18
CUST0053,Sushma Bhat,9524082400,sushma.bhat71@outlook.com,Nagpur,2022-05-10
CUST0054,Yash Joshi,9094777520,yash.joshi33@hotmail.com,Delhi,2022-03-08
CUST0055,Vimala Nambiar,9190229413,vimala.nambiar16@hotmail.com,Surat,2023-09-03
CUST0056,Gaurav Khan,9774964990,gaurav.khan79@gmail.com,Indore,2022-08-01
CUST0057,Nandini Mishra,9123281206,nandini.mishra58@hotmail.com,Pune,2022-02-03
CUST0058,Pallavi Dubey,9471349361,pallavi.dubey70@yahoo.com,Lucknow,2022-06-02
CUST0059,Manoj Mehta,9102499471,manoj.mehta60@outlook.com,Nagpur,2023-02-17
CUST0060,Manoj Nambiar,9719065940,manoj.nambiar12@yahoo.com,Lucknow,2023-08-13
CUST0061,Rahul Tiwari,9902787429,rahul.tiwari56@hotmail.com,Delhi,2023-04-27
CUST0062,Dinesh Ansari,9551256746,dinesh.ansari98@gmail.com,Ahmedabad,2022-04-01
CUST0063,Shivam Mishra,9516808760,shivam.mishra25@outlook.com,Surat,2023-05-26
CUST0064,Imran Singh,9348247710,imran.singh81@yahoo.com,Nagpur,2022-06-12
CUST0065,Preeti Sharma,9861317127,preeti.sharma92@outlook.com,Kolkata,2023-12-24
CUST0066,Manoj Ansari,9773782639,manoj.ansari66@yahoo.com,Bhopal,2022-03-13
CUST0067,Geeta Ansari,9584044997,geeta.ansari20@hotmail.com,Kolkata,2023-05-11
CUST0068,Dinesh Malhotra,9886753396,dinesh.malhotra30@hotmail.com,Mumbai,2022-11-22
CUST0069,Kartik Khan,9627028951,kartik.khan57@gmail.com,Kolkata,2023-04-13
CUST0070,Priya Mehta,9621745961,priya.mehta43@hotmail.com,Chennai,2023-10-04
CUST0071,Yash Kumar,9913431611,yash.kumar57@yahoo.com,Nagpur,2022-11-03
CUST0072,Sneha Kumar,9504556238,sneha.kumar53@yahoo.com,Bengaluru,2022-06-29
CUST0073,Suresh Khan,9937923747,suresh.khan33@gmail.com,Indore,2023-04-22
CUST0074,Ravi Iyer,9175946474,ravi.iyer26@hotmail.com,Bhopal,2023-05-10
CUST0075,Meera Shetty,9695944064,meera.shetty2@gmail.com,Surat,2023-05-24
CUST0076,Ravi Bhat,9953394210,ravi.bhat40@hotmail.com,Mumbai,2023-08-17
CUST0077,Ajay Gupta,9145623285,ajay.gupta68@outlook.com,Bhopal,2022-06-18
CUST0078,Ashok Menon,9451712368,ashok.menon47@gmail.com,Indore,2023-02-09
CUST0079,Priya Mishra,9817549651,priya.mishra87@yahoo.com,Ahmedabad,2022-01-26
CUST0080,Tanvi Bhat,9174612004,tanvi.bhat64@gmail.com,Delhi,2022-08-29
CUST0081,Shreya Khan,9758692617,shreya.khan79@hotmail.com,Pune,2022-02-03
CUST0082,Madhu Verma,9773515850,madhu.verma51@outlook.com,Hyderabad,2022-05-06
CUST0083,Syed Nair,9390053293,syed.nair9@yahoo.com,Surat,2022-08-10
CUST0084,Pallavi Malhotra,9290422842,pallavi.malhotra15@gmail.com,Bengaluru,2022-01-16
CUST0085,Sonam Shetty,9950240268,sonam.shetty15@gmail.com,Ahmedabad,2023-04-05
CUST0086,Ajay Joshi,9783908470,ajay.joshi8@hotmail.com,Bhopal,2023-02-16
CUST0087,Sachin Joshi,9771159212,sachin.joshi36@outlook.com,Jaipur,2023-09-04
CUST0088,Sushma D'Souza,9896118367,sushma.d'souza30@hotmail.com,Chennai,2023-04-10
CUST0089,Vimala Ansari,9156545271,vimala.ansari12@gmail.com,Delhi,2023-03-19
CUST0090,Rajesh Bajaj,9280988516,rajesh.bajaj46@hotmail.com,Bhopal,2022-02-22
CUST0091,Ravi Pandey,9519832731,ravi.pandey45@outlook.com,Delhi,2022-10-13
CUST0092,Gaurav Qureshi,9899809402,gaurav.qureshi35@outlook.com,Chennai,2022-12-26
CUST0093,Arjun Pillai,9296120183,arjun.pillai49@hotmail.com,Ahmedabad,2022-12-16
CUST0094,Sanjay Bajaj,9459910229,sanjay.bajaj7@gmail.com,Pune,2023-03-30
CUST0095,Sachin Nambiar,9976438156,sachin.nambiar15@outlook.com,Lucknow,2023-11-26
CUST0096,Yash Pandey,9036900343,yash.pandey99@yahoo.com,Indore,2022-09-19
CUST0097,Sushma Shah,9107622683,sushma.shah65@outlook.com,Delhi,2023-02-11
CUST0098,Kavya Qureshi,9071596966,kavya.qureshi38@gmail.com,Jaipur,2022-01-22
CUST0099,Tanvi Iyer,9975161369,tanvi.iyer52@gmail.com,Jaipur,2022-11-14
CUST0100,Bhavna Bhat,9521818835,bhavna.bhat45@yahoo.com,Hyderabad,2022-04-16
CUST0101,Aditya Mishra,9329212779,aditya.mishra98@hotmail.com,Lucknow,2023-08-02
CUST0102,Tanvi Shah,9271774490,tanvi.shah46@gmail.com,Pune,2023-04-18
CUST0103,Fatima Kumar,9054119986,fatima.kumar60@gmail.com,Ahmedabad,2023-08-09
CUST0104,Prakash Shah,9978207151,prakash.shah65@yahoo.com,Mumbai,2022-09-11
CUST0105,Imran Fernandez,9889255466,imran.fernandez44@gmail.com,Indore,2023-10-09
CUST0106,Kunal Reddy,9518644925,kunal.reddy11@yahoo.com,Chennai,2022-11-14
CUST0107,Sunil Gupta,9914865281,sunil.gupta83@hotmail.com,Kolkata,2023-01-06
CUST0108,Rahul Bajaj,9423573322,rahul.bajaj10@outlook.com,Bhopal,2022-04-14
CUST0109,Vikram Malhotra,9929622292,vikram.malhotra93@hotmail.com,Mumbai,2023-02-25
CUST0110,Ajay Shetty,9794738347,ajay.shetty25@outlook.com,Lucknow,2023-08-08
CUST0111,Imran D'Souza,9468862392,imran.d'souza33@gmail.com,Lucknow,2023-05-08
CUST0112,Madhu Joshi,9814124782,madhu.joshi56@gmail.com,Hyderabad,2023-04-07
CUST0113,Dinesh Patel,9606853615,dinesh.patel29@gmail.com,Chennai,2022-04-12
CUST0114,Kunal Mehta,9204727790,kunal.mehta11@gmail.com,Pune,2022-08-09
CUST0115,Lakshmi Qureshi,9143410369,lakshmi.qureshi59@gmail.com,Delhi,2023-05-27
CUST0116,Rahul Shetty,9246095396,rahul.shetty24@gmail.com,Kolkata,2023-01-05
CUST0117,Amit Patel,9670654051,amit.patel45@yahoo.com,Nagpur,2023-11-04
CUST0118,Meera Malhotra,9205852772,meera.malhotra18@gmail.com,Nagpur,2023-04-14
CUST0119,Vikram Dubey,9303054868,vikram.dubey61@outlook.com,Mumbai,2023-10-25
CUST0120,Prakash Dubey,9505415667,prakash.dubey50@outlook.com,Bengaluru,2023-05-24
CUST0121,Nisha Bajaj,9841616928,nisha.bajaj38@outlook.com,Delhi,2022-03-23
